SiO2,TiO2,Al2O3,MnO,MgO ,CaO,Na2O,K2O,P2O5,Name,Basalt,Gabbro,Granite
47.77,1.33,15.38,0.17,10.76,11.28,2.69,0.62,0.41,Basalt,1,0,0
47.94,1.28,15.22,0.18,10.87,11.39,2.17,0.96,0.38,Basalt,1,0,0
51.5,1.12,16.04,0.15,9.49,9.8,2.64,0.33,0.16,Basalt,1,0,0
45.66,1.6,14.87,0.17,9.81,13.09,3.09,0.96,0.84,Basalt,1,0,0
48.24,1.34,15.91,0.17,10.06,10.78,2.51,0.56,0.26,Basalt,1,0,0
45.42,1.57,14.97,0.19,9.94,13.01,3.3,0.76,0.7,Basalt,1,0,0
48.32,1.4,15.83,0.19,9.98,10.59,2.48,0.49,0.26,Basalt,1,0,0
50.59,1.55,16.53,0.16,8.14,9.64,2.94,0.43,0.26,Basalt,1,0,0
50.38,1.51,16.08,0.16,7.9,10.18,2.94,0.87,0.37,Basalt,1,0,0
50.61,1.43,16.8,0.18,7.76,10.51,2.66,0.38,0.21,Basalt,1,0,0
51.7,1.28,16.96,0.15,7.54,9.98,2.88,0.46,0.22,Basalt,1,0,0
50.5,1.53,16.53,0.15,8.29,9.57,2.95,0.44,0.25,Basalt,1,0,0
50.3,1.5,16.73,0.16,7.76,10.27,2.75,0.41,0.24,Basalt,1,0,0
50.92,1.52,16.6,0.15,8.1,9.32,3.01,0.47,0.26,Basalt,1,0,0
48.01,1.53,16.45,0.19,8.68,10.97,2.49,0.51,0.27,Basalt,1,0,0
51.82,1.48,17.04,0.14,7.11,9.08,3.35,0.61,0.3,Basalt,1,0,0
47.18,0.97,13.79,0.15,14.91,10.93,1.79,1.03,0.39,Basalt,1,0,0
47.94,1.15,15.33,0.17,11.11,11.52,2.06,1.19,0.61,Basalt,1,0,0
49.09,1.33,14.16,0.14,10.75,11.37,2.05,1.78,0.67,Basalt,1,0,0
49.18,1.35,14.36,0.15,10.75,10.95,2.11,1.7,0.65,Basalt,1,0,0
48.48,1.26,15.27,0.17,10.93,11.24,2.27,0.75,0.45,Basalt,1,0,0
49.5,1.29,15.82,0.16,10.04,10.61,2.46,0.47,0.29,Basalt,1,0,0
48.92,1.31,15.41,0.16,10.23,11.2,2.33,0.69,0.41,Basalt,1,0,0
51.03,1.26,15.6,0.15,8.77,10.43,2.61,0.66,0.27,Basalt,1,0,0
50.51,1.49,16.32,0.15,8.42,9.91,2.72,0.41,0.4,Basalt,1,0,0
51.72,1.33,16.87,0.15,7.23,9.71,3.04,0.55,0.35,Basalt,1,0,0
50.69,0.87,14.77,0.15,11.49,10.67,2.08,0.26,0.18,Basalt,1,0,0
50.74,0.94,15.11,0.15,10.82,10.41,2.37,0.44,0.19,Basalt,1,0,0
48.2,1.27,15.38,0.18,10.94,11.04,2.2,0.95,0.37,Basalt,1,0,0
48.6,1.22,16.23,0.15,9.61,12.33,2.22,0.89,0.3,Basalt,1,0,0
50.58,1.19,16.38,0.15,9.69,9.61,2.58,0.48,0.2,Basalt,1,0,0
49.15,1.62,15.49,0.16,9.14,10.67,2.69,0.89,0.39,Basalt,1,0,0
51.39,1.28,16.65,0.15,8.05,9.92,2.88,0.55,0.23,Basalt,1,0,0
